batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,0.659512,20741.09,0.000000,0.00,0.000000,0.00,0.332841,41097.73,99
1,16774745,16774844,100,14553,0.671402,21675.53,0.000000,0.00,0.000000,0.00,0.301431,48279.65,98
2,16774845,16774944,100,13931,0.657764,21179.31,0.000000,0.00,0.000000,0.00,0.285712,48758.85,98
3,16774945,16775044,100,13901,0.661660,21009.27,0.000000,0.00,0.000000,0.00,0.326933,42519.46,95
4,16775045,16775144,100,14066,0.678735,20723.83,0.000000,0.00,0.000000,0.00,0.338051,41609.08,94
5,16775145,16775244,100,13375,0.628574,21278.33,0.000000,0.00,0.000000,0.00,0.296093,45171.57,97
6,16775245,16775344,100,14060,0.710171,19798.04,0.000000,0.00,0.000000,0.00,0.324577,43317.92,99
7,16775345,16775444,100,13097,0.629493,20805.65,0.000000,0.00,0.000000,0.00,0.303558,43144.95,95
8,16775445,16775544,100,13416,0.656354,20440.19,0.000000,0.00,0.000000,0.00,0.303935,44141.09,99
9,16775545,16775644,100,14084,0.662328,21264.39,0.000000,0.00,0.000000,0.00,0.308436,45662.62,98
10,16775645,16775744,100,14225,0.646654,21997.85,0.000000,0.00,0.000000,0.00,0.316833,44897.42,98
11,16775745,16775844,100,14412,0.638687,22565.03,0.000000,0.00,0.000000,0.00,0.303951,47415.48,96
12,16775845,16775944,100,13180,0.636486,20707.46,0.000000,0.00,0.000000,0.00,0.304600,43269.81,90
13,16775945,16776044,100,14450,0.671417,21521.63,0.000000,0.00,0.000000,0.00,0.306247,47184.16,96
14,16776045,16776144,100,14110,0.775799,18187.70,0.000000,0.00,0.000000,0.00,0.352764,39998.46,100
15,16776145,16776244,100,13388,0.662389,20211.69,0.000000,0.00,0.000000,0.00,0.305387,43839.49,91
16,16776245,16776344,100,14314,0.721920,19827.68,0.000000,0.00,0.000000,0.00,0.323186,44290.28,95
17,16776345,16776444,100,14382,0.668807,21503.95,0.000000,0.00,0.000000,0.00,0.317989,45228.04,98
18,16776445,16776544,100,14191,0.723765,19607.19,0.000000,0.00,0.000000,0.00,0.370273,38325.74,97
19,16776545,16776644,100,14870,0.798257,18628.08,0.000000,0.00,0.000000,0.00,0.399619,37210.47,99
20,16776645,16776744,100,14874,0.743684,20000.44,0.000000,0.00,0.000000,0.00,0.375694,39590.74,100
21,16776745,16776844,100,15018,0.682412,22007.22,0.000000,0.00,0.000000,0.00,0.347396,43230.15,98
22,16776845,16776944,100,16167,0.703069,22994.90,0.000000,0.00,0.000000,0.00,0.341749,47306.62,97
23,16776945,16777044,100,15610,0.702055,22234.73,0.000000,0.00,0.000000,0.00,0.318434,49021.12,97
24,16777045,16777144,100,15393,0.724052,21259.53,0.000000,0.00,0.000000,0.00,0.350118,43965.15,96
25,16777145,16777244,100,15575,0.823744,18907.58,0.000000,0.00,0.000000,0.00,0.386969,40248.66,99
26,16777245,16777344,100,15004,0.770283,19478.55,0.000000,0.00,0.000000,0.00,0.365118,41093.52,98
27,16777345,16777444,100,15907,0.776054,20497.30,0.000000,0.00,0.000000,0.00,0.365829,43482.06,100
28,16777445,16777544,100,17133,0.672336,25482.78,0.000000,0.00,0.000000,0.00,0.304798,56211.00,99
29,16777545,16777644,100,15750,0.707629,22257.43,0.000000,0.00,0.000000,0.00,0.337317,46691.93,100
30,16777645,16777744,100,16020,0.677802,23635.24,0.000000,0.00,0.000000,0.00,0.315950,50704.27,99
31,16777745,16777844,100,17300,0.601022,28784.32,0.000000,0.00,0.000000,0.00,0.288156,60036.82,91
32,16777845,16777944,100,15673,0.623159,25150.90,0.000000,0.00,0.000000,0.00,0.275801,56827.14,96
33,16777945,16778044,100,14808,0.576588,25682.10,0.000000,0.00,0.000000,0.00,0.260908,56755.68,99
34,16778045,16778144,100,17223,0.648537,26556.71,0.000000,0.00,0.000000,0.00,0.301029,57213.73,97
35,16778145,16778244,100,14729,0.627032,23490.03,0.000000,0.00,0.000000,0.00,0.288854,50991.16,99
36,16778245,16778344,100,14230,0.630744,22560.64,0.000000,0.00,0.000000,0.00,0.291152,48874.82,98
