batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,0.668554,20460.56,0.475907,28743.03,0.480197,28486.20,0.443271,30859.22,100
1,16774745,16774844,100,14553,0.648096,22454.99,0.447008,32556.43,0.460652,31592.20,0.434368,33503.83,100
2,16774845,16774944,100,13931,0.614545,22668.82,0.432654,32198.92,0.439684,31684.09,0.414879,33578.48,100
3,16774945,16775044,100,13901,0.658969,21095.09,0.478854,29029.70,0.469203,29626.86,0.439895,31600.71,100
4,16775045,16775144,100,14066,0.678088,20743.61,0.484792,29014.48,0.490931,28651.70,0.458087,30705.93,100
5,16775145,16775244,100,13375,0.625534,21381.74,0.441691,30281.37,0.450598,29682.79,0.422801,31634.25,100
6,16775245,16775344,100,14060,0.707420,19875.03,0.496673,28308.36,0.513844,27362.41,0.461067,30494.50,100
7,16775345,16775444,100,13097,0.627650,20866.74,0.441683,29652.50,0.448084,29228.86,0.419833,31195.77,100
8,16775445,16775544,100,13416,0.652994,20545.36,0.451038,29744.69,0.462018,29037.84,0.433231,30967.31,100
9,16775545,16775644,100,14084,0.654644,21513.98,0.459170,30672.75,0.469308,30010.12,0.435771,32319.76,100
10,16775645,16775744,100,14225,0.644749,22062.86,0.460201,30910.42,0.460109,30916.59,0.434312,32752.99,100
11,16775745,16775844,100,14412,0.636342,22648.22,0.467910,30800.78,0.469047,30726.14,0.432463,33325.39,100
12,16775845,16775944,100,13180,0.634924,20758.40,0.452119,29151.65,0.451876,29167.32,0.424040,31081.98,100
13,16775945,16776044,100,14450,0.669892,21570.66,0.463317,31188.14,0.469218,30795.91,0.437015,33065.23,100
14,16776045,16776144,100,14110,0.769893,18327.23,0.549781,25664.76,0.517701,27255.11,0.491794,28690.85,100
15,16776145,16776244,100,13388,0.657484,20362.48,0.465514,28759.58,0.470584,28449.76,0.440537,30390.16,100
16,16776245,16776344,100,14314,0.722221,19819.41,0.529455,27035.33,0.513008,27902.08,0.469205,30506.95,100
17,16776345,16776444,100,14382,0.662731,21701.11,0.472459,30440.73,0.482732,29792.96,0.458112,31394.04,100
18,16776445,16776544,100,14191,0.722248,19648.38,0.526109,26973.51,0.528837,26834.38,0.494923,28673.14,100
19,16776545,16776644,100,14870,0.788967,18847.42,0.597155,24901.40,0.580397,25620.41,0.527937,28166.24,100
20,16776645,16776744,100,14874,0.743679,20000.57,0.521663,28512.67,0.551663,26962.11,0.505045,29450.83,100
21,16776745,16776844,100,15018,0.679558,22099.66,0.492905,30468.34,0.511946,29335.12,0.468131,32080.78,100
22,16776845,16776944,100,16167,0.688164,23492.96,0.484839,33345.08,0.508280,31807.25,0.472248,34234.14,100
23,16776945,16777044,100,15610,0.693576,22506.56,0.495179,31523.92,0.511272,30531.70,0.465616,33525.48,100
24,16777045,16777144,100,15393,0.718223,21432.08,0.508747,30256.70,0.523542,29401.65,0.486274,31655.02,100
25,16777145,16777244,100,15575,0.816346,19078.92,0.553372,28145.61,0.583034,26713.72,0.540878,28795.78,100
26,16777245,16777344,100,15004,0.766424,19576.62,0.542228,27671.04,0.561352,26728.31,0.512917,29252.27,100
27,16777345,16777444,100,15907,0.774478,20538.98,0.541578,29371.60,0.549054,28971.65,0.508751,31266.77,100
28,16777445,16777544,100,17133,0.674529,25399.96,0.480871,35629.11,0.491129,34884.90,0.452526,37860.79,100
29,16777545,16777644,100,15750,0.721346,21834.19,0.498578,31589.87,0.521495,30201.65,0.481206,32730.27,100
30,16777645,16777744,100,16020,0.677058,23661.18,0.474891,33734.08,0.495162,32353.05,0.452980,35365.80,100
31,16777745,16777844,100,17300,0.600242,28821.72,0.460112,37599.52,0.455462,37983.37,0.404153,42805.53,100
32,16777845,16777944,100,15673,0.616379,25427.56,0.424298,36938.63,0.434770,36048.97,0.411657,38072.94,100
33,16777945,16778044,100,14808,0.577449,25643.81,0.402927,36751.11,0.421403,35139.76,0.398727,37138.22,100
34,16778045,16778144,100,17223,0.644178,26736.40,0.458970,37525.31,0.473713,36357.44,0.436927,39418.51,100
35,16778145,16778244,100,14729,0.626248,23519.44,0.438927,33556.83,0.456630,32255.90,0.426017,34573.71,100
