batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,1.162316,11768.75,0.793389,17241.24,0.714753,19138.07,0.715146,19127.57,100
1,16774745,16774844,100,14553,1.340980,10852.51,0.839490,17335.52,0.760052,19147.36,0.761269,19116.76,100
2,16774845,16774944,100,13931,1.283905,10850.49,0.816518,17061.47,0.734072,18977.70,0.731251,19050.91,100
3,16774945,16775044,100,13901,1.330415,10448.62,0.851343,16328.31,0.753267,18454.29,0.756349,18379.08,100
4,16775045,16775144,100,14066,1.184965,11870.39,0.739956,19009.24,0.679210,20709.37,0.678875,20719.59,100
5,16775145,16775244,100,13375,1.198430,11160.44,0.811267,16486.55,0.730354,18313.04,0.731867,18275.18,100
6,16775245,16775344,100,14060,1.398688,10052.28,1.026650,13695.03,0.874814,16071.98,0.866459,16226.96,100
7,16775345,16775444,100,13097,1.438270,9106.08,1.074819,12185.31,0.925053,14158.10,0.925829,14146.24,99
8,16775445,16775544,100,13416,1.147790,11688.54,0.769087,17444.05,0.696071,19273.89,0.696076,19273.75,100
9,16775545,16775644,100,14084,1.180348,11932.07,0.778774,18084.84,0.704947,19978.80,0.702483,20048.90,100
10,16775645,16775744,100,14225,1.346005,10568.31,0.937597,15171.76,0.832378,17089.59,0.834096,17054.39,100
11,16775745,16775844,100,14412,1.273902,11313.27,0.914085,15766.59,0.806198,17876.51,0.800906,17994.63,98
12,16775845,16775944,100,13180,1.215760,10840.96,0.785135,16786.93,0.710964,18538.22,0.706442,18656.89,100
13,16775945,16776044,100,14450,1.228232,11764.88,0.834662,17312.39,0.758704,19045.65,0.758708,19045.53,100
14,16776045,16776144,100,14110,1.222106,11545.64,0.828467,17031.45,0.740125,19064.36,0.742709,18998.02,100
15,16776145,16776244,100,13388,1.082427,12368.50,0.726477,18428.67,0.648546,20643.12,0.650813,20571.19,100
16,16776245,16776344,100,14314,1.244383,11502.89,0.871122,16431.67,0.745880,19190.76,0.745234,19207.38,100
17,16776345,16776444,100,14382,1.024380,14039.71,0.706261,20363.58,0.633404,22705.90,0.630937,22794.65,100
18,16776445,16776544,100,14191,1.109029,12795.88,0.764710,18557.37,0.666128,21303.72,0.666147,21303.10,99
19,16776545,16776644,100,14870,1.216914,12219.43,0.834282,17823.71,0.736591,20187.58,0.735659,20213.18,100
20,16776645,16776744,100,14874,1.159613,12826.69,0.760359,19561.82,0.697244,21332.57,0.694016,21431.78,100
21,16776745,16776844,100,15018,1.030704,14570.63,0.698576,21498.01,0.635297,23639.34,0.627981,23914.74,100
22,16776845,16776944,100,16167,1.167813,13843.83,0.793471,20375.03,0.710416,22757.10,0.709147,22797.83,100
23,16776945,16777044,100,15610,1.043648,14957.15,0.717935,21742.93,0.643531,24256.81,0.635993,24544.30,100
24,16777045,16777144,100,15393,1.104184,13940.61,0.742977,20718.00,0.663751,23190.94,0.664541,23163.37,100
25,16777145,16777244,100,15575,1.195486,13028.17,0.797060,19540.55,0.724522,21496.93,0.718979,21662.66,99
26,16777245,16777344,100,15004,1.146407,13087.85,0.776703,19317.56,0.694187,21613.77,0.692038,21680.89,100
27,16777345,16777444,100,15907,1.085969,14647.75,0.714424,22265.50,0.654830,24291.81,0.653815,24329.50,100
28,16777445,16777544,100,17133,1.097358,15612.95,0.734746,23318.27,0.668879,25614.48,0.666964,25688.03,100
29,16777545,16777644,100,15750,1.075870,14639.31,0.705052,22338.77,0.637294,24713.86,0.634746,24813.06,100
30,16777645,16777744,100,16020,1.057521,15148.63,0.709036,22594.04,0.646874,24765.25,0.645707,24810.01,100
31,16777745,16777844,100,17300,0.917401,18857.62,0.642908,26908.98,0.593468,29150.71,0.594286,29110.57,100
32,16777845,16777944,100,15673,0.988807,15850.41,0.649447,24132.86,0.604352,25933.56,0.600749,26089.08,100
