batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,0.665066,20567.88,0.339804,40255.51,0.351495,38916.61,0.283276,48288.56,27
1,16774745,16774844,100,14553,0.656118,22180.46,0.298975,48676.29,0.330266,44064.44,0.257298,56560.95,30
2,16774845,16774944,100,13931,0.613634,22702.44,0.286252,48666.95,0.311721,44690.59,0.239873,58076.65,32
3,16774945,16775044,100,13901,0.656011,21190.21,0.329353,42207.04,0.352117,39478.37,0.275228,50507.17,29
4,16775045,16775144,100,14066,0.682923,20596.76,0.348430,40369.71,0.370815,37932.70,0.278019,50593.74,29
5,16775145,16775244,100,13375,0.625326,21388.86,0.298322,44834.03,0.325498,41090.93,0.262968,50861.63,30
6,16775245,16775344,100,14060,0.705977,19915.66,0.339551,41407.64,0.366365,38377.03,0.285312,49279.34,32
7,16775345,16775444,100,13097,0.626125,20917.56,0.304264,43044.80,0.327531,39987.08,0.246354,53163.30,29
8,16775445,16775544,100,13416,0.651940,20578.59,0.285511,46989.42,0.324027,41404.01,0.268790,49912.51,30
9,16775545,16775644,100,14084,0.651965,21602.39,0.300388,46886.05,0.331340,42506.18,0.265993,52948.81,44
10,16775645,16775744,100,14225,0.643601,22102.21,0.309785,45918.97,0.335889,42350.33,0.279164,50955.79,42
11,16775745,16775844,100,14412,0.632885,22771.90,0.312699,46089.04,0.339696,42426.22,0.262323,54939.92,29
12,16775845,16775944,100,13180,0.636992,20691.01,0.312604,42161.93,0.328850,40079.11,0.259983,50695.56,28
13,16775945,16776044,100,14450,0.665227,21721.90,0.303287,47644.68,0.332747,43426.39,0.259897,55598.99,32
14,16776045,16776144,100,14110,0.773170,18249.54,0.399709,35300.65,0.387046,36455.60,0.287372,49100.16,36
15,16776145,16776244,100,13388,0.657501,20361.96,0.317392,42181.33,0.344326,38881.80,0.263347,50837.80,27
16,16776245,16776344,100,14314,0.721203,19847.39,0.372647,38411.64,0.377871,37880.67,0.284466,50318.83,31
17,16776345,16776444,100,14382,0.668819,21503.59,0.321090,44791.17,0.345161,41667.49,0.283160,50791.05,35
18,16776445,16776544,100,14191,0.735301,19299.57,0.368587,38501.13,0.399028,35563.92,0.320717,44247.76,31
19,16776545,16776644,100,14870,0.793006,18751.43,0.402667,36928.80,0.445019,33414.27,0.339255,43831.38,35
20,16776645,16776744,100,14874,0.745798,19943.75,0.379705,39172.48,0.420638,35360.57,0.328695,45251.70,44
21,16776745,16776844,100,15018,0.687312,21850.34,0.342731,43818.65,0.380123,39508.23,0.281345,53379.35,32
22,16776845,16776944,100,16167,0.688760,23472.63,0.317194,50968.79,0.370116,43680.87,0.311265,51939.66,31
23,16776945,16777044,100,15610,0.692572,22539.16,0.343891,45392.28,0.365224,42740.89,0.290301,53771.76,31
24,16777045,16777144,100,15393,0.719703,21387.98,0.349235,44076.32,0.384183,40066.81,0.339362,45358.63,33
25,16777145,16777244,100,15575,0.818214,19035.37,0.355344,43830.74,0.416965,37353.29,0.342852,45427.81,39
