batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,1.151485,11879.44,0.590353,23170.89,0.521260,26242.16,0.485552,28172.05,90
1,16774745,16774844,100,14553,1.261143,11539.54,0.639284,22764.52,0.546770,26616.30,0.536182,27141.90,95
2,16774845,16774944,100,13931,1.194974,11658.00,0.617039,22577.18,0.534259,26075.37,0.507800,27434.04,93
3,16774945,16775044,100,13901,1.262048,11014.64,0.676823,20538.61,0.580517,23945.90,0.537000,25886.39,91
4,16775045,16775144,100,14066,1.109801,12674.35,0.553880,25395.39,0.495455,28390.07,0.482974,29123.71,96
5,16775145,16775244,100,13375,1.201177,11134.91,0.611671,21866.31,0.526398,25408.51,0.509912,26230.01,96
6,16775245,16775344,100,14060,1.384742,10153.52,0.822534,17093.53,0.707153,19882.53,0.657518,21383.43,86
7,16775345,16775444,100,13097,1.425627,9186.83,0.907016,14439.65,0.804258,16284.58,0.747308,17525.56,80
8,16775445,16775544,100,13416,1.137235,11797.04,0.557783,24052.37,0.490888,27330.05,0.477576,28091.89,95
9,16775545,16775644,100,14084,1.176716,11968.91,0.561356,25089.24,0.485797,28991.55,0.459801,30630.62,97
10,16775645,16775744,100,14225,1.346034,10568.09,0.750240,18960.61,0.670146,21226.71,0.640091,22223.41,88
11,16775745,16775844,100,14412,1.275810,11296.35,0.713401,20201.82,0.619736,23255.06,0.594607,24237.86,89
12,16775845,16775944,100,13180,1.179466,11174.55,0.603524,21838.40,0.530997,24821.25,0.518465,25421.20,92
13,16775945,16776044,100,14450,1.224604,11799.73,0.632464,22847.15,0.561633,25728.57,0.543661,26579.04,92
14,16776045,16776144,100,14110,1.213622,11626.35,0.638757,22089.79,0.572004,24667.66,0.561356,25135.56,94
15,16776145,16776244,100,13388,1.078262,12416.28,0.516192,25936.06,0.455996,29359.92,0.456603,29320.87,98
16,16776245,16776344,100,14314,1.221391,11719.42,0.661419,21641.36,0.565304,25320.89,0.551528,25953.36,95
17,16776345,16776444,100,14382,1.026065,14016.66,0.521503,27577.97,0.466273,30844.57,0.450610,31916.72,98
18,16776445,16776544,100,14191,1.106380,12826.52,0.565447,25096.96,0.495178,28658.36,0.485288,29242.44,97
19,16776545,16776644,100,14870,1.223043,12158.20,0.619329,24009.84,0.539687,27553.02,0.543532,27358.09,100
20,16776645,16776744,100,14874,1.150901,12923.79,0.544628,27310.37,0.495964,29990.09,0.486882,30549.47,98
21,16776745,16776844,100,15018,1.023464,14673.70,0.491864,30532.81,0.435681,34470.14,0.433633,34633.01,98
22,16776845,16776944,100,16167,1.162987,13901.27,0.561933,28770.34,0.492725,32811.39,0.495718,32613.31,98
23,16776945,16777044,100,15610,1.048611,14886.36,0.532520,29313.47,0.482333,32363.56,0.477756,32673.56,98
24,16777045,16777144,100,15393,1.109391,13875.18,0.525090,29314.95,0.470526,32714.45,0.469203,32806.67,98
25,16777145,16777244,100,15575,1.212752,12842.69,0.560424,27791.45,0.496548,31366.52,0.494157,31518.31,99
26,16777245,16777344,100,15004,1.147885,13071.00,0.571558,26251.03,0.507442,29567.89,0.505766,29665.87,100
27,16777345,16777444,100,15907,1.094593,14532.35,0.500670,31771.44,0.445834,35679.19,0.449799,35364.68,100
28,16777445,16777544,100,17133,1.089767,15721.71,0.535778,31977.79,0.467370,36658.36,0.469771,36470.97,99
29,16777545,16777644,100,15750,1.071581,14697.91,0.492539,31977.16,0.436649,36070.18,0.436064,36118.51,100
30,16777645,16777744,100,16020,1.053625,15204.66,0.493832,32440.17,0.441188,36311.02,0.436157,36729.90,99
31,16777745,16777844,100,17300,0.912627,18956.27,0.454749,38042.97,0.436492,39634.14,0.394313,43873.80,77
32,16777845,16777944,100,15673,0.970222,16154.03,0.430720,36387.93,0.379035,41349.79,0.376945,41579.01,100
33,16777945,16778044,100,14808,1.046057,14156.01,0.499340,29655.12,0.430552,34393.09,0.426220,34742.65,97
34,16778045,16778144,100,17223,1.012944,17002.91,0.488299,35271.40,0.436380,39467.87,0.436235,39481.00,98
35,16778145,16778244,100,14729,1.085053,13574.45,0.524766,28067.76,0.455665,32324.17,0.452511,32549.45,99
36,16778245,16778344,100,14230,1.018602,13970.13,0.484591,29364.98,0.416790,34141.90,0.413745,34393.15,96
37,16778345,16778444,100,14563,0.987256,14750.98,0.484122,30081.25,0.424314,34321.26,0.419603,34706.58,97
38,16778445,16778544,100,14766,1.058477,13950.24,0.496852,29719.13,0.422153,34977.87,0.420257,35135.62,100
39,16778545,16778644,100,15804,1.125755,14038.58,0.552126,28623.91,0.488333,32363.16,0.482969,32722.62,98
40,16778645,16778744,100,16064,1.054516,15233.53,0.510633,31459.01,0.442969,36264.37,0.443653,36208.44,99
41,16778745,16778844,100,15896,1.078979,14732.45,0.518542,30655.20,0.461199,34466.67,0.463957,34261.81,99
42,16778845,16778944,100,14379,1.149152,12512.70,0.564854,25456.12,0.476434,30180.48,0.474650,30293.92,100
43,16778945,16779044,100,14535,1.183623,12280.09,0.579524,25080.91,0.496008,29303.97,0.489023,29722.52,99
44,16779045,16779144,100,15203,1.073679,14159.73,0.520951,29183.18,0.462512,32870.51,0.454178,33473.63,98
45,16779145,16779244,100,15017,1.114906,13469.29,0.572923,26211.21,0.527339,28476.91,0.513675,29234.43,95
46,16779245,16779344,100,14849,1.102462,13468.94,0.557026,26657.64,0.473843,31337.40,0.471725,31478.06,95
47,16779345,16779444,100,14417,1.067027,13511.37,0.508890,28330.32,0.454499,31720.65,0.456259,31598.26,99
48,16779445,16779544,100,13748,1.100343,12494.28,0.542841,25326.02,0.480002,28641.57,0.477990,28762.11,98
49,16779545,16779644,100,14524,1.224482,11861.34,0.642761,22596.26,0.547671,26519.56,0.537542,27019.31,96
50,18581726,18581825,100,14635,2.058745,7108.70,1.579167,9267.54,1.484479,9858.67,1.319214,11093.73,54
51,18581826,18581925,100,14705,1.825302,8056.20,1.352317,10873.93,1.249176,11771.76,1.138746,12913.32,64
