workload,threads,seq_time_s,par_speedup,graph_speedup,integ_speedup
real,2,138.533143,1.3775295434752102,1.3805320242231087,1.731985635784899
real,4,138.800668,1.7295768517140093,1.7129611693811295,2.3870230768472758
real,8,138.43003299999998,1.8609725330171976,1.7600358221812185,2.6401246944156047
real,12,139.103761,1.5408553279315054,1.6777630949668323,2.453175351231071
real,16,138.43271199999998,1.275840442389352,1.631201296536299,2.350686999991051
real,20,139.353037,1.175796711263224,1.605705001420675,2.2947264465748938
real,24,139.909892,1.155382863217007,1.5568611567314847,2.187735838332155
v2,2,267.463094,1.402936778601833,1.6195943115172176,1.6256696677448257
v2,4,266.785772,1.7604734073073827,2.0475322823381092,2.113365430581127
v2,8,267.40584,1.9498794364248149,2.07904467169204,2.276270520654099
v2,12,267.13772400000005,1.5485112526322282,1.9710799510972625,2.076601663806334
v2,16,276.665521,1.290442754965954,1.938485112873656,1.9902547873822867
v2,20,273.75416599999994,1.1788624950581112,1.9100923613809329,1.9417967637695444
v2,24,269.04236,1.167057998261236,1.8311911905829132,1.8465449500582056
