batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,1.064938,12844.88,0.427611,31989.38,0.365445,37431.08,0.261362,52337.39,35
1,16774745,16774844,100,14553,1.169443,12444.39,0.682252,21330.82,0.464393,31337.67,0.383676,37930.45,45
2,16774845,16774944,100,13931,1.103294,12626.73,0.646785,21538.84,0.443270,31427.83,0.373667,37281.81,39
3,16774945,16775044,100,13901,1.142886,12163.07,0.731860,18994.06,0.502661,27654.84,0.375351,37034.69,26
4,16775045,16775144,100,14066,1.026237,13706.38,0.554029,25388.54,0.391720,35908.32,0.343815,40911.54,60
5,16775145,16775244,100,13375,1.106825,12084.12,0.623213,21461.37,0.440889,30336.45,0.373821,35779.16,50
6,16775245,16775344,100,14060,1.273227,11042.80,0.865907,16237.31,0.590969,23791.43,0.479456,29324.89,47
7,16775345,16775444,100,13097,1.294151,10120.15,1.101101,11894.46,0.739173,17718.46,0.523935,24997.35,26
8,16775445,16775544,100,13416,1.057124,12691.03,0.570481,23516.98,0.408089,32875.20,0.349512,38384.98,53
9,16775545,16775644,100,14084,1.084205,12990.17,0.574919,24497.36,0.402607,34982.03,0.335378,41994.41,62
10,16775645,16775744,100,14225,1.265587,11239.84,0.844710,16840.09,0.575851,24702.58,0.465982,30526.92,28
11,16775745,16775844,100,14412,1.159156,12433.19,0.801979,17970.56,0.527047,27344.79,0.401622,35884.52,24
12,16775845,16775944,100,13180,1.072258,12291.82,0.662615,19890.90,0.496267,26558.27,0.327415,40254.71,26
13,16775945,16776044,100,14450,1.121323,12886.56,0.652181,22156.43,0.470456,30714.91,0.404112,35757.43,45
14,16776045,16776144,100,14110,1.125962,12531.51,0.686452,20554.98,0.499149,28268.14,0.399977,35277.00,41
15,16776145,16776244,100,13388,0.997440,13422.36,0.501221,26710.77,0.383808,34882.00,0.330578,40498.82,60
16,16776245,16776344,100,14314,1.128592,12683.06,0.660227,21680.43,0.472589,30288.45,0.397852,35978.24,54
17,16776345,16776444,100,14382,0.954281,15071.03,0.447759,32119.93,0.354164,40608.29,0.329335,43669.86,78
18,16776445,16776544,100,14191,1.026633,13822.86,0.469649,30216.21,0.378825,37460.60,0.322960,43940.40,63
19,16776545,16776644,100,14870,1.123912,13230.58,0.581265,25582.14,0.422816,35168.99,0.387100,38413.83,72
20,16776645,16776744,100,14874,1.063878,13980.93,0.497548,29894.59,0.371355,40053.31,0.343190,43340.38,77
21,16776745,16776844,100,15018,0.960938,15628.48,0.408255,36785.85,0.321877,46657.53,0.303412,49497.07,86
22,16776845,16776944,100,16167,1.075916,15026.26,0.457400,35345.40,0.357907,45170.94,0.332996,48550.15,82
23,16776945,16777044,100,15610,0.965684,16164.71,0.432929,36056.75,0.365405,42719.74,0.317363,49186.59,72
24,16777045,16777144,100,15393,1.023914,15033.49,0.419988,36651.05,0.350952,43860.65,0.333112,46209.73,85
25,16777145,16777244,100,15575,1.112936,13994.51,0.422796,36838.11,0.386118,40337.42,0.369853,42111.36,86
26,16777245,16777344,100,15004,1.062393,14122.84,0.473235,31705.19,0.383594,39114.26,0.362902,41344.49,81
27,16777345,16777444,100,15907,1.009648,15755.00,0.407914,38995.93,0.336548,47265.22,0.325735,48834.18,87
28,16777445,16777544,100,17133,1.013828,16899.31,0.450163,38059.53,0.346091,49504.27,0.333008,51449.19,86
29,16777545,16777644,100,15750,0.992074,15875.83,0.396773,39695.28,0.316888,49702.06,0.298901,52693.05,88
30,16777645,16777744,100,16020,0.974662,16436.48,0.405595,39497.53,0.332258,48215.53,0.310755,51551.84,84
31,16777745,16777844,100,17300,0.847541,20412.00,0.335017,51639.14,0.280467,61682.84,0.270228,64020.00,90
32,16777845,16777944,100,15673,0.915988,17110.48,0.358055,43772.58,0.284015,55183.67,0.271256,57779.47,84
33,16777945,16778044,100,14808,0.971946,15235.41,0.419879,35267.30,0.322156,45965.35,0.300670,49250.03,83
34,16778045,16778144,100,17223,0.940555,18311.53,0.361176,47685.93,0.313647,54911.97,0.303661,56717.90,94
35,16778145,16778244,100,14729,1.004343,14665.30,0.451588,32615.99,0.337805,43602.09,0.322268,45704.20,87
36,16778245,16778344,100,14230,0.937680,15175.75,0.418554,33997.97,0.318499,44678.34,0.282212,50423.09,76
37,16778345,16778444,100,14563,0.913502,15941.95,0.438542,33207.78,0.322456,45162.81,0.296694,49084.25,78
38,16778445,16778544,100,14766,0.983849,15008.41,0.415362,35549.74,0.318466,46366.07,0.300531,49133.10,83
39,16778545,16778644,100,15804,1.051745,15026.46,0.468542,33730.17,0.401817,39331.38,0.372951,42375.54,72
40,16778645,16778744,100,16064,0.978116,16423.41,0.365947,43897.12,0.319344,50303.11,0.313004,51321.98,91
41,16778745,16778844,100,15896,1.007637,15775.52,0.425186,37385.95,0.345376,46025.26,0.318989,49832.49,78
42,16778845,16778944,100,14379,1.061790,13542.22,0.460838,31201.88,0.349874,41097.65,0.332776,43209.30,85
43,16778945,16779044,100,14535,1.110588,13087.66,0.497025,29244.00,0.370115,39271.53,0.361758,40178.85,84
44,16779045,16779144,100,15203,0.995617,15269.92,0.332337,45745.69,0.307667,49413.74,0.296555,51265.29,88
45,16779145,16779244,100,15017,1.019416,14730.98,0.376292,39907.80,0.347104,43263.68,0.331944,45239.62,88
46,16779245,16779344,100,14849,1.040524,14270.70,0.425627,34887.34,0.372523,39860.66,0.352405,42136.14,82
47,16779345,16779444,100,14417,0.991269,14543.99,0.418429,34455.09,0.328619,43871.48,0.311854,46230.03,85
48,16779445,16779544,100,13748,1.014096,13556.90,0.472950,29068.62,0.348455,39454.20,0.323085,42552.25,82
