batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,1.169307,11698.38,0.520792,26265.78,0.506469,27008.57,0.423377,32309.28,64
1,16774745,16774844,100,14553,1.277644,11390.49,0.563352,25832.89,0.535887,27156.87,0.470898,30904.78,66
2,16774845,16774944,100,13931,1.225443,11368.13,0.531681,26201.80,0.507813,27433.33,0.443596,31404.70,73
3,16774945,16775044,100,13901,1.263261,11004.06,0.607721,22873.98,0.566800,24525.40,0.467863,29711.67,57
4,16775045,16775144,100,14066,1.127430,12476.16,0.496455,28332.89,0.483221,29108.81,0.437238,32170.11,73
5,16775145,16775244,100,13375,1.213286,11023.79,0.553419,24167.95,0.512762,26084.20,0.464148,28816.26,72
6,16775245,16775344,100,14060,1.407860,9986.79,0.746666,18830.37,0.679775,20683.31,0.547451,25682.66,52
7,16775345,16775444,100,13097,1.446095,9056.81,0.835284,15679.69,0.793417,16507.08,0.599059,21862.60,36
8,16775445,16775544,100,13416,1.149577,11670.38,0.486949,27551.13,0.476006,28184.52,0.436587,30729.30,80
9,16775545,16775644,100,14084,1.193710,11798.51,0.490894,28690.49,0.453048,31087.21,0.418095,33686.12,82
10,16775645,16775744,100,14225,1.373839,10354.19,0.684185,20791.16,0.660754,21528.43,0.574013,24781.68,59
11,16775745,16775844,100,14412,1.271012,11338.99,0.629811,22883.06,0.604246,23851.23,0.505015,28537.78,56
12,16775845,16775944,100,13180,1.191358,11063.01,0.548967,24008.72,0.519752,25358.26,0.430734,30598.93,57
13,16775945,16776044,100,14450,1.246861,11589.11,0.558855,25856.43,0.537648,26876.33,0.487815,29621.87,69
14,16776045,16776144,100,14110,1.221734,11549.16,0.586811,24045.22,0.561192,25142.91,0.479676,29415.67,69
15,16776145,16776244,100,13388,1.090459,12277.40,0.461335,29020.15,0.449885,29758.73,0.420706,31822.71,78
16,16776245,16776344,100,14314,1.236920,11572.30,0.597724,23947.51,0.546680,26183.50,0.477201,29995.73,64
17,16776345,16776444,100,14382,1.031911,13937.25,0.471780,30484.57,0.450398,31931.78,0.419182,34309.64,75
18,16776445,16776544,100,14191,1.125755,12605.77,0.496796,28565.06,0.485677,29219.02,0.424619,33420.54,73
19,16776545,16776644,100,14870,1.239355,11998.18,0.545912,27238.82,0.526902,28221.59,0.476441,31210.58,74
20,16776645,16776744,100,14874,1.165139,12765.86,0.497960,29869.84,0.481147,30913.60,0.444405,33469.50,81
21,16776745,16776844,100,15018,1.049930,14303.81,0.427109,35161.95,0.428689,35032.35,0.403010,37264.59,76
22,16776845,16776944,100,16167,1.173629,13775.22,0.495444,32631.31,0.474564,34067.07,0.427574,37810.97,70
23,16776945,16777044,100,15610,1.054969,14796.65,0.485225,32170.67,0.463335,33690.55,0.435346,35856.56,75
24,16777045,16777144,100,15393,1.120854,13733.28,0.462832,33258.31,0.456187,33742.73,0.430430,35761.94,80
25,16777145,16777244,100,15575,1.204317,12932.64,0.484710,32132.59,0.472242,32980.99,0.442541,35194.50,78
26,16777245,16777344,100,15004,1.156685,12971.56,0.511515,29332.47,0.494721,30328.20,0.460872,32555.70,80
27,16777345,16777444,100,15907,1.088672,14611.38,0.436540,36438.83,0.424202,37498.65,0.415026,38327.70,89
28,16777445,16777544,100,17133,1.103666,15523.71,0.461592,37117.17,0.442127,38751.30,0.424636,40347.54,83
29,16777545,16777644,100,15750,1.073447,14672.36,0.422573,37271.68,0.416987,37770.99,0.400679,39308.27,85
30,16777645,16777744,100,16020,1.062091,15083.46,0.424471,37741.06,0.420116,38132.29,0.404628,39591.94,87
31,16777745,16777844,100,17300,0.928092,18640.39,0.396675,43612.54,0.399304,43325.34,0.354632,48783.02,75
32,16777845,16777944,100,15673,0.988340,15857.90,0.355891,44038.76,0.334755,46819.35,0.329330,47590.50,92
33,16777945,16778044,100,14808,1.065260,13900.83,0.436616,33915.35,0.410606,36063.74,0.391948,37780.50,85
34,16778045,16778144,100,17223,1.025784,16790.08,0.421276,40882.95,0.414484,41552.86,0.381097,45193.19,75
35,16778145,16778244,100,14729,1.104214,13338.90,0.457738,32177.82,0.436882,33713.91,0.414830,35506.09,84
36,16778245,16778344,100,14230,1.025507,13876.06,0.415350,34260.27,0.393631,36150.64,0.368380,38628.64,77
37,16778345,16778444,100,14563,0.999773,14566.30,0.419182,34741.43,0.410854,35445.68,0.378670,38458.34,81
