batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,0.668729,20455.23,0.496381,27557.48,0.453772,30145.08,0.351600,38905.05,10
1,16774745,16774844,100,14553,0.642878,22637.25,0.424500,34282.68,0.421065,34562.34,0.329911,44111.92,11
2,16774845,16774944,100,13931,0.635673,21915.36,0.408388,34112.15,0.410346,33949.37,0.318230,43776.54,15
3,16774945,16775044,100,13901,0.660203,21055.64,0.483207,28768.20,0.456191,30471.87,0.387649,35859.80,10
4,16775045,16775144,100,14066,0.680088,20682.60,0.482837,29131.96,0.484356,29040.65,0.361131,38949.83,13
5,16775145,16775244,100,13375,0.625858,21370.66,0.412799,32400.80,0.429889,31112.71,0.331599,40334.90,12
6,16775245,16775344,100,14060,0.709819,19807.88,0.471451,29822.83,0.488119,28804.44,0.335004,41969.69,10
7,16775345,16775444,100,13097,0.629360,20810.04,0.445071,29426.77,0.435879,30047.35,0.304639,42991.90,11
8,16775445,16775544,100,13416,0.655281,20473.66,0.390514,34354.72,0.417443,32138.52,0.342124,39213.83,11
9,16775545,16775644,100,14084,0.690600,20393.85,0.424374,33187.69,0.441062,31932.05,0.328024,42935.85,11
10,16775645,16775744,100,14225,0.645534,22036.01,0.435066,32696.22,0.444887,31974.42,0.313808,45330.21,10
11,16775745,16775844,100,14412,0.638082,22586.45,0.445487,32351.12,0.431036,33435.75,0.327092,44060.94,11
12,16775845,16775944,100,13180,0.637439,20676.49,0.447639,29443.34,0.444780,29632.66,0.317463,41516.67,13
13,16775945,16776044,100,14450,0.668684,21609.61,0.411045,35154.32,0.427692,33786.02,0.346574,41693.82,12
14,16776045,16776144,100,14110,0.781077,18064.79,0.642828,21949.87,0.510059,27663.48,0.374647,37662.10,11
15,16776145,16776244,100,13388,0.663604,20174.69,0.450030,29749.14,0.448530,29848.61,0.359949,37194.16,14
16,16776245,16776344,100,14314,0.721374,19842.69,0.534478,26781.25,0.486460,29424.83,0.397076,36048.51,11
17,16776345,16776444,100,14382,0.670659,21444.58,0.450503,31924.35,0.462794,31076.48,0.395731,36342.86,11
18,16776445,16776544,100,14191,0.736456,19269.31,0.518649,27361.49,0.515165,27546.54,0.407677,34809.41,13
19,16776545,16776644,100,14870,0.793686,18735.36,0.587158,25325.38,0.596432,24931.57,0.445531,33375.92,16
20,16776645,16776744,100,14874,0.754612,19710.79,0.528037,28168.46,0.557717,26669.43,0.473156,31435.72,10
21,16776745,16776844,100,15018,0.684649,21935.34,0.475939,31554.49,0.491742,30540.41,0.367796,40832.45,12
22,16776845,16776944,100,16167,0.689967,23431.57,0.439740,36764.93,0.500098,32327.66,0.395617,40865.25,12
23,16776945,16777044,100,15610,0.719010,21710.42,0.480132,32511.89,0.484339,32229.52,0.371825,41982.16,12
24,16777045,16777144,100,15393,0.725979,21203.10,0.496817,30983.25,0.503732,30557.90,0.414397,37145.51,12
25,16777145,16777244,100,15575,0.821603,18956.83,0.478090,32577.55,0.540342,28824.31,0.447472,34806.65,12
26,16777245,16777344,100,15004,0.778096,19282.97,0.493432,30407.45,0.527530,28442.00,0.414861,36166.29,15
27,16777345,16777444,100,15907,0.792114,20081.71,0.499782,31827.86,0.511652,31089.48,0.403830,39390.32,10
28,16777445,16777544,100,17133,0.676701,25318.41,0.430407,39806.49,0.448989,38159.06,0.334271,51254.78,11
29,16777545,16777644,100,15750,0.706064,22306.75,0.468204,33639.16,0.486607,32367.00,0.443449,35517.07,10
30,16777645,16777744,100,16020,0.704611,22735.96,0.433807,36928.84,0.441649,36273.14,0.359487,44563.49,11
31,16777745,16777844,100,17300,0.597205,28968.30,0.460844,37539.79,0.490922,35239.85,0.402224,43010.85,19
32,16777845,16777944,100,15673,0.635371,24667.50,0.365037,42935.36,0.375076,41786.25,0.309747,50599.38,13
33,16777945,16778044,100,14808,0.580388,25513.95,0.349673,42348.12,0.363344,40754.75,0.307861,48099.60,15
34,16778045,16778144,100,17223,0.649139,26532.06,0.409042,42105.66,0.439244,39210.57,0.411990,41804.43,16
35,16778145,16778244,100,14729,0.626894,23495.21,0.402506,36593.20,0.419091,35145.13,0.338859,43466.41,12
36,16778245,16778344,100,14230,0.652738,21800.47,0.430306,33069.48,0.414313,34346.00,0.321454,44267.61,12
37,16778345,16778444,100,14563,0.635579,22912.95,0.443251,32854.99,0.439241,33154.93,0.314141,46358.21,12
38,16778445,16778544,100,14766,0.647687,22798.04,0.441373,33454.67,0.439207,33619.65,0.386878,38167.03,10
39,16778545,16778644,100,15804,0.661956,23874.69,0.426170,37083.76,0.430064,36747.98,0.331839,47625.52,10
40,16778645,16778744,100,16064,0.695030,23112.67,0.434748,36950.13,0.444787,36116.17,0.363480,44195.05,11
41,16778745,16778844,100,15896,0.667113,23828.06,0.474930,33470.17,0.482278,32960.24,0.365095,43539.30,10
