batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,0.660159,20720.76,0.489583,27940.09,0.460767,29687.47,0.340464,40177.52,19
1,16774745,16774844,100,14553,0.648358,22445.94,0.415670,35010.97,0.441243,32981.79,0.331944,43841.78,17
2,16774845,16774944,100,13931,0.616818,22585.26,0.389149,35798.67,0.419920,33175.38,0.313295,44466.02,16
3,16774945,16775044,100,13901,0.677926,20505.18,0.475619,29227.15,0.463928,29963.72,0.345501,40234.33,14
4,16775045,16775144,100,14066,0.678339,20735.95,0.482358,29160.90,0.485682,28961.31,0.361877,38869.54,21
5,16775145,16775244,100,13375,0.642899,20804.19,0.420632,31797.40,0.427270,31303.41,0.339466,39400.15,18
6,16775245,16775344,100,14060,0.707391,19875.85,0.487154,28861.52,0.484624,29012.21,0.328726,42771.18,26
7,16775345,16775444,100,13097,0.629931,20791.17,0.437171,29958.52,0.435213,30093.34,0.323045,40542.33,22
8,16775445,16775544,100,13416,0.657676,20399.11,0.395955,33882.60,0.421596,31821.94,0.338354,39650.80,19
9,16775545,16775644,100,14084,0.653001,21568.13,0.416902,33782.54,0.437605,32184.30,0.329850,42698.14,19
10,16775645,16775744,100,14225,0.647059,21984.10,0.442065,32178.56,0.444632,31992.77,0.325096,43756.34,12
11,16775745,16775844,100,14412,0.638704,22564.46,0.449487,32063.20,0.433788,33223.58,0.326591,44128.65,14
12,16775845,16775944,100,13180,0.636673,20701.37,0.431079,30574.47,0.428548,30755.01,0.300932,43797.30,14
13,16775945,16776044,100,14450,0.669491,21583.55,0.415437,34782.68,0.433542,33330.08,0.316074,45717.18,19
14,16776045,16776144,100,14110,0.776335,18175.13,0.611493,23074.65,0.496613,28412.46,0.373137,37814.50,19
15,16776145,16776244,100,13388,0.663129,20189.12,0.453740,29505.88,0.439460,30464.66,0.361833,37000.50,14
16,16776245,16776344,100,14314,0.722648,19807.71,0.501554,28539.29,0.488604,29295.72,0.383504,37324.21,21
17,16776345,16776444,100,14382,0.671029,21432.74,0.450355,31934.83,0.458269,31383.34,0.362848,39636.41,11
18,16776445,16776544,100,14191,0.745755,19029.03,0.536599,26446.18,0.524580,27052.10,0.407633,34813.21,31
19,16776545,16776644,100,14870,0.797761,18639.66,0.597903,24870.27,0.595548,24968.61,0.454022,32751.74,29
20,16776645,16776744,100,14874,0.747670,19893.80,0.537497,27672.72,0.554171,26840.07,0.417982,35585.26,23
21,16776745,16776844,100,15018,0.698036,21514.65,0.494686,30358.67,0.494631,30362.00,0.362912,41381.88,18
22,16776845,16776944,100,16167,0.695764,23236.32,0.442577,36529.27,0.490166,32982.73,0.392036,41238.58,28
23,16776945,16777044,100,15610,0.711887,21927.64,0.486190,32106.77,0.488250,31971.35,0.367672,42456.27,13
24,16777045,16777144,100,15393,0.725275,21223.67,0.495570,31061.21,0.505248,30466.22,0.423211,36371.92,31
25,16777145,16777244,100,15575,0.840885,18522.14,0.489831,31796.67,0.536566,29027.20,0.467880,33288.42,36
26,16777245,16777344,100,15004,0.773080,19408.07,0.505076,29706.44,0.529586,28331.55,0.439539,34135.75,35
27,16777345,16777444,100,15907,0.795382,19999.19,0.499201,31864.90,0.504601,31523.94,0.416874,38157.79,30
28,16777445,16777544,100,17133,0.677058,25305.06,0.442849,38688.09,0.443852,38600.69,0.337810,50717.92,30
29,16777545,16777644,100,15750,0.704033,22371.10,0.468074,33648.50,0.483493,32575.46,0.400160,39359.24,32
30,16777645,16777744,100,16020,0.680107,23555.11,0.437393,36626.12,0.439740,36430.58,0.362137,44237.42,27
31,16777745,16777844,100,17300,0.597811,28938.91,0.455652,37967.57,0.483885,35752.27,0.413366,41851.50,42
32,16777845,16777944,100,15673,0.624151,25110.89,0.354411,44222.64,0.368562,42524.70,0.307450,50977.46,20
33,16777945,16778044,100,14808,0.579722,25543.26,0.356568,41529.21,0.360692,41054.46,0.301047,49188.41,19
34,16778045,16778144,100,17223,0.649691,26509.53,0.410411,41965.27,0.441061,39049.05,0.392128,43921.90,28
35,16778145,16778244,100,14729,0.628397,23438.99,0.406767,36209.89,0.418684,35179.24,0.340098,43308.08,17
