batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,0.656413,20839.00,0.524487,26080.74,0.494844,27643.06,0.377544,36231.53,48
1,16774745,16774844,100,14553,0.663469,21934.71,0.475725,30591.22,0.476097,30567.30,0.364987,39872.65,42
2,16774845,16774944,100,13931,0.631685,22053.72,0.445289,31285.30,0.442648,31471.98,0.360680,38624.27,46
3,16774945,16775044,100,13901,0.668561,20792.43,0.518337,26818.48,0.511744,27163.99,0.348491,39889.15,33
4,16775045,16775144,100,14066,0.693397,20285.63,0.530417,26518.75,0.524593,26813.16,0.409455,34352.96,33
5,16775145,16775244,100,13375,0.642354,20821.86,0.455516,29362.31,0.485056,27574.11,0.371307,36021.37,43
6,16775245,16775344,100,14060,0.704249,19964.54,0.519812,27048.27,0.518133,27135.88,0.384613,36556.22,44
7,16775345,16775444,100,13097,0.629745,20797.30,0.475182,27562.10,0.485820,26958.53,0.352937,37108.64,40
8,16775445,16775544,100,13416,0.668568,20066.75,0.437001,30700.18,0.460177,29154.02,0.381355,35179.85,45
9,16775545,16775644,100,14084,0.666027,21146.28,0.461930,30489.45,0.478333,29443.92,0.393302,35809.61,53
10,16775645,16775744,100,14225,0.659367,21573.72,0.475313,29927.65,0.487216,29196.52,0.392630,36230.08,47
11,16775745,16775844,100,14412,0.648739,22215.40,0.489045,29469.71,0.476128,30269.18,0.365136,39470.18,36
12,16775845,16775944,100,13180,0.648290,20330.41,0.494081,26675.81,0.476965,27633.05,0.340807,38672.89,35
13,16775945,16776044,100,14450,0.682919,21159.17,0.451567,31999.70,0.470408,30718.03,0.343332,42087.49,32
14,16776045,16776144,100,14110,0.790135,17857.72,0.686785,20545.02,0.545709,25856.29,0.428172,32954.06,45
15,16776145,16776244,100,13388,0.665966,20103.13,0.505419,26488.90,0.488850,27386.70,0.375750,35630.09,40
16,16776245,16776344,100,14314,0.730859,19585.18,0.569167,25149.05,0.540885,26464.05,0.391994,36515.90,33
17,16776345,16776444,100,14382,0.666285,21585.35,0.497360,28916.65,0.504887,28485.60,0.377373,38110.85,26
18,16776445,16776544,100,14191,0.742011,19125.07,0.567598,25001.84,0.562659,25221.33,0.459375,30891.99,53
19,16776545,16776644,100,14870,0.813841,18271.37,0.620774,23953.98,0.643162,23120.14,0.518260,28692.16,51
20,16776645,16776744,100,14874,0.759480,19584.45,0.589093,25248.98,0.606067,24541.85,0.496591,29952.23,65
21,16776745,16776844,100,15018,0.693733,21648.10,0.534732,28085.09,0.542296,27693.34,0.424356,35390.09,36
22,16776845,16776944,100,16167,0.712498,22690.58,0.490081,32988.39,0.533060,30328.66,0.436640,37025.94,40
23,16776945,16777044,100,15610,0.708757,22024.48,0.520100,30013.46,0.526676,29638.69,0.413009,37795.80,50
24,16777045,16777144,100,15393,0.739877,20804.80,0.535091,28767.07,0.548735,28051.80,0.465624,33058.89,54
25,16777145,16777244,100,15575,0.838044,18584.94,0.529996,29387.00,0.589971,26399.60,0.515998,30184.24,72
26,16777245,16777344,100,15004,0.788071,19038.90,0.543686,27596.81,0.576306,26034.80,0.487183,30797.47,63
