batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,1.041521,13133.68,0.392343,34864.90,0.358772,38127.25,0.314851,43445.98,74
1,16774745,16774844,100,14553,1.137634,12792.34,0.423983,34324.47,0.397522,36609.33,0.362547,40141.06,79
2,16774845,16774944,100,13931,1.089050,12791.88,0.422673,32959.25,0.380178,36643.38,0.338522,41152.38,75
3,16774945,16775044,100,13901,1.129332,12309.05,0.472318,29431.46,0.427891,32487.24,0.381067,36479.17,71
4,16775045,16775144,100,14066,1.010355,13921.84,0.359071,39173.26,0.336646,41782.79,0.307170,45792.29,82
5,16775145,16775244,100,13375,1.092774,12239.49,0.419284,31899.58,0.383827,34846.41,0.345618,38698.84,85
6,16775245,16775344,100,14060,1.251368,11235.70,0.562420,24999.13,0.517588,27164.47,0.434294,32374.36,61
7,16775345,16775444,100,13097,1.278995,10240.07,0.680552,19244.68,0.650169,20144.00,0.562162,23297.55,49
8,16775445,16775544,100,13416,1.034779,12965.09,0.375591,35719.75,0.351787,38136.68,0.319470,41994.60,86
9,16775545,16775644,100,14084,1.068424,13182.04,0.379424,37119.46,0.338739,41577.72,0.315672,44615.94,90
10,16775645,16775744,100,14225,1.210086,11755.36,0.535098,26583.94,0.510631,27857.69,0.465262,30574.15,69
11,16775745,16775844,100,14412,1.138988,12653.34,0.494476,29146.03,0.463016,31126.35,0.416970,34563.64,67
12,16775845,16775944,100,13180,1.069173,12327.29,0.437200,30146.41,0.412903,31920.33,0.353933,37238.65,63
13,16775945,16776044,100,14450,1.108904,13030.89,0.436152,33130.65,0.408677,35357.98,0.380695,37956.86,80
14,16776045,16776144,100,14110,1.104095,12779.69,0.440007,32067.67,0.416155,33905.66,0.383081,36832.95,77
15,16776145,16776244,100,13388,0.983415,13613.78,0.331651,40367.69,0.307500,43538.16,0.289183,46295.96,93
16,16776245,16776344,100,14314,1.104143,12963.91,0.430200,33272.87,0.390097,36693.43,0.361249,39623.67,86
17,16776345,16776444,100,14382,0.925637,15537.41,0.304722,47197.15,0.284334,50581.38,0.267303,53804.11,91
18,16776445,16776544,100,14191,1.011450,14030.35,0.339035,41856.98,0.310022,45774.13,0.287318,49391.20,86
19,16776545,16776644,100,14870,1.105865,13446.49,0.375679,39581.71,0.345051,43095.08,0.332863,44672.99,92
20,16776645,16776744,100,14874,1.046788,14209.19,0.328821,45234.37,0.311501,47749.51,0.307331,48397.33,97
21,16776745,16776844,100,15018,0.947276,15853.87,0.281125,53420.98,0.267080,56230.30,0.262118,57294.83,97
22,16776845,16776944,100,16167,1.054052,15337.96,0.325904,49606.67,0.299848,53917.25,0.290474,55657.36,95
23,16776945,16777044,100,15610,0.949488,16440.45,0.306908,50862.23,0.284397,54888.09,0.276104,56536.66,92
24,16777045,16777144,100,15393,1.001899,15363.82,0.299878,51330.94,0.276359,55699.26,0.268646,57298.49,97
25,16777145,16777244,100,15575,1.096381,14205.83,0.318991,48825.89,0.301212,51707.73,0.287981,54083.37,92
26,16777245,16777344,100,15004,1.044363,14366.65,0.328959,45610.52,0.309154,48532.45,0.298763,50220.40,96
27,16777345,16777444,100,15907,1.001705,15879.92,0.289199,55003.68,0.271488,58591.92,0.271101,58675.53,100
28,16777445,16777544,100,17133,0.996079,17200.44,0.312439,54836.23,0.291429,58789.53,0.278973,61414.48,97
29,16777545,16777644,100,15750,0.972411,16196.85,0.279092,56433.06,0.260633,60429.74,0.261182,60302.66,99
30,16777645,16777744,100,16020,0.953886,16794.46,0.289099,55413.49,0.266944,60012.60,0.257125,62304.21,96
31,16777745,16777844,100,17300,0.833236,20762.42,0.244949,70627.04,0.226551,76362.34,0.224689,76995.36,98
32,16777845,16777944,100,15673,0.893671,17537.77,0.258256,60687.95,0.233996,66979.80,0.229500,68291.97,95
33,16777945,16778044,100,14808,0.955956,15490.25,0.296445,49951.99,0.269793,54886.44,0.253454,58424.70,92
34,16778045,16778144,100,17223,0.925609,18607.22,0.266302,64674.60,0.246944,69744.57,0.245339,70200.71,99
35,16778145,16778244,100,14729,0.988424,14901.49,0.321263,45847.15,0.283453,51962.77,0.275095,53541.42,95
36,16778245,16778344,100,14230,0.924884,15385.72,0.287648,49470.16,0.257066,55355.51,0.246299,57775.24,92
37,16778345,16778444,100,14563,0.900105,16179.22,0.292588,49773.11,0.264371,55085.57,0.250236,58196.97,91
38,16778445,16778544,100,14766,0.960572,15372.09,0.290250,50873.34,0.263426,56053.62,0.258965,57019.30,97
39,16778545,16778644,100,15804,1.028832,15361.11,0.338994,46620.23,0.323993,48778.79,0.310559,50888.82,93
40,16778645,16778744,100,16064,0.954713,16826.00,0.272953,58852.52,0.253685,63322.69,0.252271,63677.51,100
41,16778745,16778844,100,15896,0.987455,16097.95,0.297476,53436.18,0.274005,58013.46,0.275231,57755.14,97
42,16778845,16778944,100,14379,1.045067,13758.93,0.328986,43706.97,0.295510,48658.22,0.288880,49775.03,97
43,16778945,16779044,100,14535,1.078698,13474.58,0.333282,43611.72,0.298716,48658.19,0.299592,48516.04,97
44,16779045,16779144,100,15203,0.975769,15580.52,0.258347,58847.30,0.240275,63273.46,0.232252,65459.02,98
45,16779145,16779244,100,15017,1.010345,14863.24,0.281110,53420.31,0.271047,55403.63,0.267178,56206.02,97
46,16779245,16779344,100,14849,1.003354,14799.36,0.301832,49196.25,0.284733,52150.54,0.278226,53370.22,97
47,16779345,16779444,100,14417,0.971126,14845.65,0.292697,49255.80,0.267404,53914.74,0.260260,55394.51,95
48,16779445,16779544,100,13748,1.000802,13736.98,0.316120,43489.76,0.289223,47534.26,0.284038,48401.94,97
49,16779545,16779644,100,14524,1.096866,13241.36,0.412327,35224.50,0.374647,38767.18,0.355369,40870.23,89
50,18581726,18581825,100,14635,1.864089,7851.02,1.209599,12099.05,1.204548,12149.79,1.004402,14570.85,21
51,18581826,18581925,100,14705,1.678378,8761.44,1.021014,14402.35,1.004267,14642.52,0.863378,17031.94,23
52,18581926,18582025,100,13744,1.999925,6872.26,1.367324,10051.75,1.348192,10194.40,1.134895,12110.38,25
53,18582026,18582125,100,13339,2.347852,5681.36,1.708738,7806.34,1.696384,7863.19,1.439597,9265.79,23
54,18582126,18582225,100,13302,1.724844,7712.00,1.088589,12219.48,1.072188,12406.41,0.880835,15101.58,27
55,18582226,18582325,100,15419,1.709139,9021.50,1.095068,14080.41,1.093189,14104.60,0.895275,17222.65,22
56,18582326,18582425,100,15541,1.047711,14833.29,0.421632,36859.17,0.398631,38985.89,0.361593,42979.30,79
57,18582426,18582525,100,14202,1.074812,13213.47,0.456140,31135.15,0.435722,32594.17,0.379749,37398.39,62
58,18582526,18582625,100,13584,1.065381,12750.37,0.407553,33330.60,0.378758,35864.60,0.348844,38940.04,83
59,18582626,18582725,100,14206,1.143122,12427.37,0.463959,30619.07,0.437175,32494.98,0.393155,36133.31,70
60,18582726,18582825,100,14594,1.211652,12044.71,0.503784,28968.74,0.473747,30805.48,0.433387,33674.27,74
61,18582826,18582925,100,14306,1.520403,9409.35,0.854735,16737.36,0.838676,17057.85,0.767796,18632.55,43
62,18582926,18583025,100,14637,1.182362,12379.45,0.488956,29935.21,0.462483,31648.70,0.435060,33643.65,69
63,18583026,18583125,100,19445,1.152850,16866.90,0.475716,40875.19,0.484510,40133.34,0.454805,42754.61,70
64,18583126,18583225,100,22352,1.072410,20842.78,0.451348,49522.79,0.484788,46106.80,0.460875,48499.07,65
65,18583226,18583325,100,15072,1.325395,11371.71,0.627871,24004.93,0.611415,24651.00,0.581871,25902.66,71
