batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,0.667155,20503.49,0.539725,25344.40,0.411116,33272.86,0.332117,41187.29,48
1,16774745,16774844,100,14553,0.663661,21928.37,0.477472,30479.30,0.403059,36106.37,0.313559,46412.25,42
2,16774845,16774944,100,13931,0.632015,22042.20,0.445953,31238.71,0.376311,37019.95,0.304583,45737.95,46
3,16774945,16775044,100,13901,0.659698,21071.77,0.521822,26639.37,0.419665,33124.05,0.293697,47331.15,33
4,16775045,16775144,100,14066,0.688480,20430.51,0.511340,27508.14,0.432126,32550.66,0.344864,40787.08,33
5,16775145,16775244,100,13375,0.658635,20307.16,0.463827,28836.19,0.391797,34137.55,0.316608,42244.65,43
6,16775245,16775344,100,14060,0.719863,19531.49,0.526146,26722.61,0.433159,32459.21,0.313878,44794.42,44
7,16775345,16775444,100,13097,0.631841,20728.32,0.479547,27311.18,0.391159,33482.51,0.295611,44304.78,40
8,16775445,16775544,100,13416,0.653603,20526.21,0.435101,30834.19,0.387260,34643.38,0.333983,40169.70,45
9,16775545,16775644,100,14084,0.670785,20996.30,0.465362,30264.60,0.395538,35607.21,0.324514,43400.24,53
10,16775645,16775744,100,14225,0.644767,22062.22,0.475899,29890.80,0.402367,35353.27,0.323818,43928.96,47
11,16775745,16775844,100,14412,0.653719,22046.16,0.485695,29672.91,0.402552,35801.58,0.306246,47060.20,36
12,16775845,16775944,100,13180,0.652592,20196.39,0.487405,27041.19,0.392489,33580.58,0.292370,45079.82,35
13,16775945,16776044,100,14450,0.668532,21614.51,0.446501,32362.75,0.395502,36535.86,0.299339,48273.02,32
14,16776045,16776144,100,14110,0.785286,17967.97,0.678956,20781.92,0.444978,31709.42,0.353572,39906.99,45
15,16776145,16776244,100,13388,0.662166,20218.50,0.483863,27668.97,0.404412,33104.84,0.318526,42031.05,40
16,16776245,16776344,100,14314,0.741968,19291.94,0.575919,24854.19,0.441753,32402.70,0.326855,43793.12,33
17,16776345,16776444,100,14382,0.682770,21064.20,0.492500,29202.04,0.423619,33950.34,0.323056,44518.67,26
18,16776445,16776544,100,14191,0.723003,19627.87,0.569507,24918.03,0.458112,30977.12,0.389777,36407.96,53
19,16776545,16776644,100,14870,0.812146,18309.51,0.621617,23921.47,0.514394,28907.83,0.441336,33693.12,51
20,16776645,16776744,100,14874,0.744101,19989.24,0.585536,25402.39,0.481978,30860.36,0.413036,36011.39,65
21,16776745,16776844,100,15018,0.701917,21395.70,0.521926,28774.18,0.440325,34106.62,0.357429,42016.74,36
22,16776845,16776944,100,16167,0.704690,22942.02,0.485544,33296.65,0.433731,37274.27,0.360393,44859.30,40
23,16776945,16777044,100,15610,0.730475,21369.65,0.541987,28801.42,0.440555,35432.62,0.347621,44905.29,50
24,16777045,16777144,100,15393,0.750953,20497.94,0.544596,28265.01,0.449750,34225.69,0.380573,40446.94,54
25,16777145,16777244,100,15575,0.842418,18488.45,0.537058,29000.61,0.482267,32295.39,0.424257,36711.28,72
26,16777245,16777344,100,15004,0.768639,19520.23,0.544103,27575.67,0.465061,32262.42,0.416691,36007.54,63
27,16777345,16777444,100,15907,0.804923,19762.13,0.561981,28305.24,0.460461,34545.78,0.392062,40572.62,56
28,16777445,16777544,100,17133,0.676192,25337.49,0.485206,35310.79,0.404960,42307.85,0.336307,50944.45,55
29,16777545,16777644,100,15750,0.705619,22320.83,0.507548,31031.53,0.437894,35967.63,0.370028,42564.32,61
30,16777645,16777744,100,16020,0.690193,23210.90,0.474249,33779.75,0.403787,39674.40,0.327558,48907.39,40
