batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,1.048789,13042.66,0.393796,34736.26,0.357233,38291.51,0.258506,52915.52,35
1,16774745,16774844,100,14553,1.148574,12670.50,0.642800,22640.02,0.443659,32802.26,0.362475,40148.93,45
2,16774845,16774944,100,13931,1.093422,12740.73,0.631332,22066.05,0.427117,32616.39,0.350763,39716.28,39
3,16774945,16775044,100,13901,1.131729,12282.97,0.738915,18812.73,0.468956,29642.43,0.352079,39482.66,26
4,16775045,16775144,100,14066,1.012462,13892.87,0.523835,26851.96,0.369912,38025.28,0.323222,43518.03,60
5,16775145,16775244,100,13375,1.084432,12333.65,0.657329,20347.48,0.419098,31913.75,0.354092,37772.64,50
6,16775245,16775344,100,14060,1.249679,11250.89,0.847340,16593.10,0.557833,25204.67,0.444278,31646.87,47
7,16775345,16775444,100,13097,1.281549,10219.67,1.061966,12332.79,0.683503,19161.57,0.481408,27205.62,26
8,16775445,16775544,100,13416,1.028911,13039.03,0.560450,23937.89,0.383786,34957.02,0.325390,41230.57,53
9,16775545,16775644,100,14084,1.077697,13068.61,0.587496,23972.93,0.383016,36771.34,0.325237,43303.81,62
10,16775645,16775744,100,14225,1.207297,11782.52,0.842049,16893.32,0.549446,25889.73,0.420183,33854.33,28
11,16775745,16775844,100,14412,1.147858,12555.56,0.786989,18312.84,0.510528,28229.61,0.380875,37839.22,24
12,16775845,16775944,100,13180,1.063554,12392.42,0.708537,18601.71,0.449636,29312.59,0.297843,44251.56,26
13,16775945,16776044,100,14450,1.106563,13058.45,0.664323,21751.47,0.438740,32935.23,0.373023,38737.51,45
14,16776045,16776144,100,14110,1.107888,12735.94,0.704143,20038.53,0.456320,30921.29,0.358156,39396.27,41
15,16776145,16776244,100,13388,0.991472,13503.16,0.476202,28114.10,0.348596,38405.51,0.300319,44579.30,60
16,16776245,16776344,100,14314,1.105393,12949.24,0.641341,22318.86,0.430341,33261.98,0.366371,39069.73,54
17,16776345,16776444,100,14382,0.930740,15452.23,0.423299,33976.00,0.321806,44691.49,0.299963,47945.92,78
18,16776445,16776544,100,14191,1.008111,14076.83,0.499081,28434.24,0.347724,40811.16,0.298581,47528.13,63
19,16776545,16776644,100,14870,1.105209,13454.46,0.554805,26802.22,0.390835,38046.71,0.357347,41612.18,72
20,16776645,16776744,100,14874,1.048542,14185.41,0.489648,30376.90,0.347379,42817.76,0.325266,45728.69,77
21,16776745,16776844,100,15018,0.944466,15901.05,0.400794,37470.65,0.301704,49777.26,0.283048,53058.13,86
22,16776845,16776944,100,16167,1.062666,15213.63,0.454598,35563.32,0.339270,47652.27,0.319570,50589.78,82
23,16776945,16777044,100,15610,0.957402,16304.54,0.438520,35597.00,0.322169,48452.83,0.288878,54036.60,72
24,16777045,16777144,100,15393,1.002435,15355.61,0.412365,37328.62,0.318067,48395.47,0.299594,51379.56,85
25,16777145,16777244,100,15575,1.091753,14266.05,0.437414,35606.98,0.339420,45887.08,0.323854,48092.63,86
26,16777245,16777344,100,15004,1.055124,14220.12,0.437233,34315.81,0.350464,42811.83,0.327587,45801.56,81
27,16777345,16777444,100,15907,0.990273,16063.25,0.410220,38776.73,0.305512,52066.75,0.294442,54024.14,87
28,16777445,16777544,100,17133,0.997674,17172.95,0.430684,39780.90,0.325877,52575.04,0.310495,55179.66,86
29,16777545,16777644,100,15750,0.959322,16417.84,0.376290,41856.02,0.297184,52997.50,0.280882,56073.29,88
30,16777645,16777744,100,16020,0.963813,16621.48,0.376268,42576.09,0.300451,53319.84,0.282002,56808.05,84
31,16777745,16777844,100,17300,0.831698,20800.83,0.327837,52770.08,0.260235,66478.33,0.254600,67949.72,90
32,16777845,16777944,100,15673,0.892575,17559.31,0.357476,43843.50,0.264137,59336.53,0.252660,62031.88,84
33,16777945,16778044,100,14808,0.958155,15454.69,0.430691,34381.99,0.305673,48443.98,0.290022,51058.17,83
34,16778045,16778144,100,17223,0.928598,18547.31,0.358334,48064.07,0.285880,60245.59,0.277211,62129.56,94
35,16778145,16778244,100,14729,0.988796,14895.90,0.456691,32251.58,0.316448,46544.81,0.304511,48369.27,87
36,16778245,16778344,100,14230,0.924909,15385.29,0.413416,34420.50,0.294888,48255.56,0.269833,52736.26,76
37,16778345,16778444,100,14563,0.901314,16157.52,0.406669,35810.48,0.298440,48797.02,0.275492,52861.77,78
38,16778445,16778544,100,14766,0.965817,15288.61,0.421676,35017.41,0.296796,49751.31,0.284849,51838.00,83
39,16778545,16778644,100,15804,1.023135,15446.65,0.513547,30774.18,0.354409,44592.56,0.323548,48845.99,72
40,16778645,16778744,100,16064,0.957961,16768.95,0.355515,45185.21,0.291136,55177.01,0.279955,57380.71,91
41,16778745,16778844,100,15896,0.988039,16088.43,0.424311,37463.07,0.312079,50935.85,0.289652,54879.66,78
42,16778845,16778944,100,14379,1.045019,13759.55,0.496124,28982.65,0.342243,42014.03,0.315640,45555.02,85
43,16778945,16779044,100,14535,1.091779,13313.13,0.492259,29527.16,0.344439,42199.07,0.339127,42860.01,84
44,16779045,16779144,100,15203,0.982255,15477.65,0.337303,45072.20,0.280899,54122.61,0.265519,57257.77,88
45,16779145,16779244,100,15017,1.001002,15001.97,0.382451,39265.18,0.312092,48117.21,0.295787,50769.71,88
46,16779245,16779344,100,14849,1.010593,14693.35,0.424781,34956.80,0.326641,45459.68,0.308624,48113.54,82
47,16779345,16779444,100,14417,0.973366,14811.49,0.408727,35272.93,0.309543,46575.10,0.291528,49453.14,85
48,16779445,16779544,100,13748,0.993041,13844.34,0.474647,28964.66,0.328526,41847.59,0.306007,44927.05,82
49,16779545,16779644,100,14524,1.103093,13166.62,0.602632,24100.93,0.421913,34424.17,0.365838,39700.68,61
50,18581726,18581825,100,14635,1.869751,7827.25,1.884854,7764.53,1.252192,11687.50,1.147367,12755.29,35
51,18581826,18581925,100,14705,1.676697,8770.22,1.583073,9288.89,1.044023,14084.93,0.894359,16441.95,21
52,18581926,18582025,100,13744,2.008680,6842.31,2.225286,6176.29,1.406214,9773.76,1.231427,11161.03,27
