workload,threads,seq_time_s,par_time_s,graph_time_s,integrated_time_s,par_speedup,graph_speedup,integ_speedup
real,2,81.938403,60.934457,61.54076899999999,50.127829,1.344697352435585,1.3314491244007693,1.6345891021931152
real,4,82.4126,48.496662,49.620273000000005,38.000260000000004,1.6993458230176748,1.6608655095468738,2.16873779284668
real,8,82.26887099999999,45.210088999999996,48.362649000000005,33.625526,1.819701593597836,1.7010828128955464,2.4466196008353887
real,16,82.394791,65.78360899999998,63.67342699999999,44.39183,1.252512476170166,1.2940216175265706,1.8560800714906325
real,24,83.208277,71.143856,69.2694,47.717513,1.1695778339594074,1.2012270497506834,1.743768100403724
v2,2,114.14027699999998,76.37699500000001,72.368856,72.02505299999999,1.4944326757029387,1.5772016210951296,1.5847302049191134
v2,4,113.92102299999999,55.393423000000006,51.543910999999994,49.790404,2.0565803091821926,2.2101742143703453,2.2880116216771405
v2,8,114.115285,46.363826,44.363927,41.098895000000006,2.461300001427837,2.5722539170168592,2.7766022663139722
v2,16,114.08958100000001,69.45943500000001,56.425502,49.576682000000005,1.6425354021379528,2.021950659827537,2.3012750429728235
v2,24,114.34804000000003,76.207754,61.904917,52.764154000000005,1.5004777597828174,1.8471560183175761,2.1671538597965583
