batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,1.043179,13112.80,0.386651,35378.16,0.359222,38079.52,0.215032,63613.87,19
1,16774745,16774844,100,14553,1.142296,12740.13,0.633089,22987.28,0.469358,31006.20,0.313737,46386.01,21
2,16774845,16774944,100,13931,1.089038,12792.02,0.604475,23046.43,0.440140,31651.28,0.271346,51340.44,13
3,16774945,16775044,100,13901,1.133475,12264.06,0.723257,19220.00,0.516120,26933.64,0.325426,42716.32,15
4,16775045,16775144,100,14066,1.005085,13994.84,0.522420,26924.69,0.384449,36587.43,0.277509,50686.65,26
5,16775145,16775244,100,13375,1.099181,12168.15,0.611112,21886.33,0.435588,30705.61,0.287701,46489.17,19
6,16775245,16775344,100,14060,1.249192,11255.28,0.830549,16928.55,0.581778,24167.31,0.453137,31028.16,25
7,16775345,16775444,100,13097,1.268347,10326.04,1.020724,12831.09,0.734497,17831.24,0.557284,23501.49,20
8,16775445,16775544,100,13416,1.029331,13033.70,0.542939,24709.95,0.409759,32741.18,0.271640,49388.93,20
9,16775545,16775644,100,14084,1.066309,13208.18,0.537277,26213.67,0.410025,34349.12,0.296395,47517.68,39
10,16775645,16775744,100,14225,1.203527,11819.42,0.798159,17822.27,0.574959,24740.91,0.401468,35432.44,16
11,16775745,16775844,100,14412,1.147465,12559.86,0.786089,18333.81,0.530666,27158.34,0.353436,40776.87,11
12,16775845,16775944,100,13180,1.055721,12484.35,0.675968,19497.97,0.486816,27073.91,0.272257,48410.19,14
13,16775945,16776044,100,14450,1.100449,13131.00,0.638627,22626.66,0.469717,30763.18,0.338331,42709.71,19
14,16776045,16776144,100,14110,1.101204,12813.25,0.673107,20962.48,0.491829,28688.83,0.352228,40059.29,24
15,16776145,16776244,100,13388,0.977055,13702.41,0.481706,27792.88,0.379737,35255.99,0.281212,47608.28,30
16,16776245,16776344,100,14314,1.102413,12984.24,0.630785,22692.38,0.461456,31019.21,0.312761,45766.65,20
17,16776345,16776444,100,14382,0.925405,15541.30,0.430733,33389.63,0.353416,40694.28,0.284585,50536.83,33
18,16776445,16776544,100,14191,1.012283,14018.81,0.469702,30212.80,0.375361,37806.24,0.267672,53016.32,34
19,16776545,16776644,100,14870,1.109475,13402.74,0.523418,28409.43,0.425556,34942.55,0.334667,44432.27,30
20,16776645,16776744,100,14874,1.041331,14283.65,0.460538,32297.04,0.371813,40003.97,0.314602,47278.72,51
21,16776745,16776844,100,15018,0.930856,16133.54,0.385295,38977.89,0.324442,46288.66,0.275186,54573.97,59
22,16776845,16776944,100,16167,1.051485,15375.40,0.427249,37839.76,0.355360,45494.73,0.284600,56805.97,54
23,16776945,16777044,100,15610,0.943686,16541.52,0.406500,38401.02,0.362471,43065.53,0.289592,53903.44,43
24,16777045,16777144,100,15393,1.003260,15342.98,0.387825,39690.57,0.343941,44754.77,0.285771,53864.72,48
25,16777145,16777244,100,15575,1.088403,14309.95,0.412829,37727.50,0.387893,40152.82,0.333110,46756.28,60
26,16777245,16777344,100,15004,1.046209,14341.31,0.428118,35046.39,0.379375,39549.25,0.307040,48866.61,43
27,16777345,16777444,100,15907,0.982837,16184.78,0.384993,41317.66,0.340206,46757.03,0.294558,54002.86,61
28,16777445,16777544,100,17133,0.998870,17152.39,0.417890,40998.85,0.354252,48363.81,0.311383,55022.30,55
29,16777545,16777644,100,15750,0.963318,16349.75,0.365311,43114.00,0.320326,49168.62,0.265314,59363.60,61
30,16777645,16777744,100,16020,0.953412,16802.82,0.394022,40657.61,0.330036,48540.13,0.275518,58145.07,58
31,16777745,16777844,100,17300,0.829738,20849.97,0.320398,53995.35,0.276798,62500.49,0.246848,70083.71,68
32,16777845,16777944,100,15673,0.886661,17676.44,0.349277,44872.73,0.279859,56003.28,0.239418,65463.01,64
33,16777945,16778044,100,14808,0.953487,15530.36,0.418997,35341.57,0.319740,46312.69,0.275710,53708.58,53
34,16778045,16778144,100,17223,0.922581,18668.29,0.347198,49605.67,0.315930,54515.16,0.273262,63027.45,64
35,16778145,16778244,100,14729,0.982698,14988.33,0.415166,35477.40,0.342679,42981.91,0.281614,52302.02,49
36,16778245,16778344,100,14230,0.915564,15542.33,0.405103,35126.88,0.317057,44881.54,0.245042,58071.59,37
37,16778345,16778444,100,14563,0.900825,16166.29,0.421226,34572.87,0.326484,44605.62,0.247000,58959.55,43
38,16778445,16778544,100,14766,0.955624,15451.68,0.406469,36327.46,0.315752,46764.60,0.259461,56910.23,49
39,16778545,16778644,100,15804,1.023756,15437.27,0.470480,33591.23,0.396869,39821.74,0.321488,49158.95,39
40,16778645,16778744,100,16064,0.954589,16828.18,0.345979,46430.61,0.322801,49764.44,0.275725,58261.05,56
41,16778745,16778844,100,15896,0.982016,16187.11,0.408064,38954.69,0.339755,46786.62,0.288600,55079.78,43
42,16778845,16778944,100,14379,1.034403,13900.77,0.468077,30719.32,0.349701,41117.98,0.293035,49069.25,50
43,16778945,16779044,100,14535,1.068198,13607.03,0.467400,31097.53,0.370529,39227.73,0.318915,45576.35,53
44,16779045,16779144,100,15203,0.972678,15630.04,0.334912,45393.96,0.310150,49018.17,0.267330,56869.70,54
45,16779145,16779244,100,15017,1.008638,14888.39,0.360901,41609.70,0.346562,43331.31,0.299676,50110.84,56
46,16779245,16779344,100,14849,0.997217,14890.44,0.412747,35976.06,0.370603,40067.16,0.303408,48940.67,59
47,16779345,16779444,100,14417,0.980826,14698.84,0.415327,34712.41,0.338165,42633.09,0.280917,51321.28,53
48,16779445,16779544,100,13748,0.990864,13874.75,0.434932,31609.54,0.346624,39662.59,0.296934,46299.84,50
49,16779545,16779644,100,14524,1.094464,13270.42,0.613429,23676.74,0.443377,32757.67,0.327261,44380.42,32
50,18581726,18581825,100,14635,1.858288,7875.53,1.853128,7897.46,1.651003,8864.31,1.512439,9676.42,35
51,18581826,18581925,100,14705,1.672746,8790.93,1.549373,9490.94,1.398524,10514.66,1.178413,12478.65,21
52,18581926,18582025,100,13744,2.005765,6852.25,2.131933,6446.73,1.907205,7206.36,1.649397,8332.74,29
53,18582026,18582125,100,13339,2.343269,5692.47,2.624175,5083.12,2.357161,5658.93,2.077589,6420.42,23
54,18582126,18582225,100,13302,1.726280,7705.58,1.717947,7742.96,1.470799,9044.06,1.243621,10696.19,27
55,18582226,18582325,100,15419,1.700694,9066.30,1.676208,9198.74,1.534115,10050.74,1.265915,12180.12,29
56,18582326,18582425,100,15541,1.043513,14892.96,0.604942,25690.06,0.475006,32717.48,0.355772,43682.42,30
57,18582426,18582525,100,14202,1.077665,13178.49,0.661960,21454.46,0.534274,26581.84,0.349528,40631.93,23
58,18582526,18582625,100,13584,1.056903,12852.64,0.599048,22675.99,0.468427,28999.21,0.316340,42941.10,28
59,18582626,18582725,100,14206,1.137136,12492.79,0.707295,20084.97,0.531962,26704.90,0.332256,42756.17,18
60,18582726,18582825,100,14594,1.205444,12106.74,0.728026,20045.99,0.564123,25870.26,0.333058,43818.17,13
61,18582826,18582925,100,14306,1.516028,9436.50,1.311737,10906.15,1.114549,12835.69,0.966481,14802.16,26
62,18582926,18583025,100,14637,1.175087,12456.10,0.727653,20115.36,0.611451,23938.13,0.447496,32708.68,28
63,18583026,18583125,100,19445,1.142240,17023.56,0.681952,28513.73,0.656248,29630.55,0.541801,35889.55,50
64,18583126,18583225,100,22352,1.066909,20950.23,0.631741,35381.61,0.682838,32733.99,0.625481,35735.67,90
65,18583226,18583325,100,15072,1.318378,11432.23,0.922167,16344.11,0.819774,18385.56,0.635044,23733.78,28
66,18583326,18583425,100,15082,1.177655,12806.81,0.705910,21365.32,0.588588,25624.04,0.385761,39096.76,29
67,18583426,18583525,100,15003,1.029212,14577.16,0.540201,27773.02,0.443229,33849.31,0.346838,43256.55,47
68,18583526,18583625,100,15544,1.314638,11823.79,0.910752,17067.21,0.859502,18084.89,0.751561,20682.29,53
69,18583626,18583725,100,15573,1.162480,13396.36,0.707557,22009.54,0.601117,25906.77,0.472861,32933.54,34
70,18583726,18583825,100,14916,1.106304,13482.73,0.596563,25003.23,0.469540,31767.27,0.330709,45103.03,30
71,18583826,18583925,100,14683,1.519507,9663.01,1.175715,12488.57,1.056608,13896.35,0.922220,15921.36,45
72,18583926,18584025,100,15413,1.415566,10888.22,1.012191,15227.36,0.832451,18515.20,0.673254,22893.29,35
73,18584026,18584125,100,14890,1.261581,11802.65,0.805564,18483.93,0.706358,21079.96,0.594184,25059.58,37
74,18584126,18584225,100,15759,1.274412,12365.70,0.771887,20416.21,0.709756,22203.41,0.570553,27620.57,37
75,18584226,18584325,100,15407,1.071780,14375.15,0.534372,28831.99,0.500129,30806.06,0.401335,38389.35,45
76,18584326,18584425,100,14274,1.386788,10292.85,1.082221,13189.54,0.936754,15237.73,0.768816,18566.20,34
77,18584426,18584525,100,15126,1.226281,12334.86,0.817107,18511.65,0.732805,20641.24,0.613647,24649.35,31
78,18584526,18584625,100,15285,1.243771,12289.24,0.811567,18833.93,0.736249,20760.64,0.612623,24950.11,40
79,18584626,18584725,100,15843,1.219202,12994.56,0.790026,20053.78,0.739072,21436.36,0.663012,23895.51,56
80,18584726,18584825,100,15299,1.220120,12538.93,0.818833,18683.90,0.728825,20991.31,0.643171,23786.85,55
81,18584826,18584925,100,15405,1.300696,11843.65,0.892146,17267.36,0.815122,18899.00,0.657503,23429.57,30
82,18584926,18585025,100,16427,1.045203,15716.56,0.482229,34064.71,0.415693,39517.14,0.334744,49073.28,41
83,18585026,18585125,100,16389,0.994372,16481.76,0.438325,37390.03,0.386653,42386.85,0.319747,51256.21,49
84,18585126,18585225,100,16604,0.925261,17945.20,0.340428,48773.90,0.322665,51458.90,0.275668,60231.89,63
85,18585226,18585325,100,16370,0.967801,16914.63,0.383061,42734.68,0.329736,49645.78,0.289044,56635.00,57
86,18585326,18585425,100,17024,0.953271,17858.52,0.353150,48206.12,0.329864,51609.10,0.294961,57716.12,69
87,18585426,18585525,100,15987,1.057046,15124.22,0.382641,41780.65,0.349287,45770.44,0.303075,52749.31,67
88,18585526,18585625,100,16127,0.934602,17255.48,0.352362,45768.32,0.357635,45093.50,0.303117,53203.81,52
89,18585626,18585725,100,16163,2.183784,7401.37,2.206961,7323.64,2.037790,7931.63,1.956257,8262.20,33
90,18585726,18585825,100,17010,1.011936,16809.36,0.493702,34453.97,0.484077,35139.04,0.417238,40768.14,50
91,18585826,18585925,100,16515,1.003647,16454.99,0.481653,34288.20,0.487892,33849.72,0.442776,37298.79,54
92,18585926,18586025,100,16042,1.073466,14944.11,0.575159,27891.43,0.533380,30076.09,0.462140,34712.46,51
93,18586026,18586125,100,15510,1.191491,13017.30,0.702667,22073.05,0.705443,21986.20,0.627646,24711.39,47
94,18586126,18586225,100,15436,1.025015,15059.29,0.473845,32576.04,0.423657,36435.13,0.358404,43068.71,48
