batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,0.875789,15619.06,0.283043,48328.34,0.256266,53378.18,0.187394,72996.00,48
1,16774745,16774844,100,14553,0.908276,16022.67,0.384966,37803.37,0.307510,47325.35,0.267086,54488.13,66
2,16774845,16774944,100,13931,0.892386,15610.96,0.407460,34189.82,0.308372,45176.01,0.264189,52731.20,56
3,16774945,16775044,100,13901,0.896560,15504.82,0.400633,34697.63,0.309845,44864.35,0.257894,53902.06,53
4,16775045,16775144,100,14066,0.891188,15783.42,0.419930,33496.06,0.311993,45084.34,0.268377,52411.28,66
5,16775145,16775244,100,13375,0.865745,15449.12,0.384622,34774.38,0.285216,46894.22,0.262560,50940.79,81
6,16775245,16775344,100,14060,0.906538,15509.56,0.445037,31592.88,0.329536,42666.10,0.256061,54908.82,53
7,16775345,16775444,100,13097,0.887972,14749.33,0.486332,26930.16,0.363292,36050.89,0.289972,45166.36,42
8,16775445,16775544,100,13416,0.877375,15291.07,0.414525,32364.72,0.315428,42532.62,0.272083,49308.43,64
9,16775545,16775644,100,14084,0.879917,16006.06,0.384193,36658.63,0.294081,47891.58,0.261051,53951.17,74
10,16775645,16775744,100,14225,0.899192,15819.75,0.445504,31930.09,0.333946,42596.69,0.297076,47883.34,59
11,16775745,16775844,100,14412,0.902823,15963.26,0.416859,34572.88,0.319865,45056.51,0.265314,54320.52,53
12,16775845,16775944,100,13180,0.919089,14340.28,0.521155,25289.99,0.370223,35600.18,0.263230,50070.19,37
13,16775945,16776044,100,14450,0.911512,15852.78,0.413879,34913.61,0.332365,43476.29,0.288001,50173.41,65
14,16776045,16776144,100,14110,0.901674,15648.68,0.443151,31840.19,0.356844,39541.04,0.300650,46931.63,54
15,16776145,16776244,100,13388,0.863201,15509.71,0.400451,33432.31,0.332053,40318.91,0.296737,45117.40,66
16,16776245,16776344,100,14314,0.907804,15767.72,0.406447,35217.42,0.323664,44224.91,0.291743,49063.76,75
17,16776345,16776444,100,14382,0.871590,16500.87,0.377002,38148.33,0.319799,44971.99,0.305640,47055.36,86
18,16776445,16776544,100,14191,0.860206,16497.21,0.345711,41048.75,0.288107,49256.08,0.261743,54217.34,75
19,16776545,16776644,100,14870,0.893971,16633.65,0.353235,42096.57,0.281741,52778.89,0.271013,54868.15,90
20,16776645,16776744,100,14874,0.890063,16711.17,0.275438,54001.32,0.243864,60993.00,0.236530,62884.21,95
21,16776745,16776844,100,15018,0.888914,16894.77,0.302066,49717.65,0.267751,56089.41,0.263183,57062.91,97
22,16776845,16776944,100,16167,0.932048,17345.68,0.334538,48326.41,0.285449,56637.18,0.276394,58492.49,93
23,16776945,16777044,100,15610,0.878176,17775.48,0.336596,46376.01,0.305740,51056.51,0.275863,56586.05,74
24,16777045,16777144,100,15393,0.879402,17503.95,0.297259,51783.14,0.278644,55242.58,0.261545,58854.22,88
25,16777145,16777244,100,15575,0.913639,17047.22,0.323074,48208.81,0.310384,50179.83,0.294375,52908.65,86
26,16777245,16777344,100,15004,0.846437,17726.07,0.313509,47858.22,0.284315,52772.46,0.276757,54213.70,91
27,16777345,16777444,100,15907,0.863090,18430.29,0.279151,56983.48,0.259358,61332.14,0.257169,61854.21,95
28,16777445,16777544,100,17133,0.902384,18986.37,0.287406,59612.61,0.259178,66105.09,0.254979,67193.67,98
29,16777545,16777644,100,15750,0.889695,17702.69,0.309744,50848.45,0.259017,60806.92,0.253821,62051.70,93
30,16777645,16777744,100,16020,0.888324,18033.95,0.309099,51828.01,0.270820,59153.72,0.267240,59946.06,92
31,16777745,16777844,100,17300,0.918148,18842.29,0.259696,66616.31,0.238833,72435.66,0.233431,74111.72,95
32,16777845,16777944,100,15673,0.850196,18434.57,0.300027,52238.55,0.244732,64041.55,0.231241,67777.90,85
33,16777945,16778044,100,14808,0.879118,16844.15,0.326296,45382.06,0.261743,56574.48,0.253675,58373.92,89
34,16778045,16778144,100,17223,0.884841,19464.52,0.266960,64515.26,0.267625,64354.92,0.259697,66319.48,96
35,16778145,16778244,100,14729,0.879974,16737.99,0.311476,47287.75,0.261107,56409.91,0.257947,57100.84,95
36,16778245,16778344,100,14230,0.911803,15606.44,0.379912,37456.05,0.306643,46405.79,0.275358,51678.19,75
37,16778345,16778444,100,14563,0.892272,16321.26,0.362243,40202.25,0.310033,46972.39,0.288289,50515.32,86
38,16778445,16778544,100,14766,0.899751,16411.21,0.342469,43116.30,0.265048,55710.61,0.253822,58174.71,88
39,16778545,16778644,100,15804,0.907696,17411.12,0.319559,49455.59,0.282159,56011.05,0.267228,59140.41,88
40,16778645,16778744,100,16064,0.868433,18497.69,0.287273,55918.85,0.282838,56795.71,0.274187,58587.84,95
41,16778745,16778844,100,15896,0.875884,18148.51,0.309578,51347.38,0.291405,54549.43,0.275914,57612.25,86
42,16778845,16778944,100,14379,0.870249,16522.87,0.319036,45070.10,0.266272,54001.26,0.256190,56126.22,93
43,16778945,16779044,100,14535,0.871591,16676.39,0.300374,48389.73,0.254715,57063.84,0.248579,58472.42,96
44,16779045,16779144,100,15203,0.873847,17397.79,0.283646,53598.45,0.268871,56543.93,0.259870,58502.40,89
45,16779145,16779244,100,15017,0.909581,16509.80,0.284613,52762.78,0.272639,55080.16,0.290078,51768.86,98
46,16779245,16779344,100,14849,0.854216,17383.19,0.286522,51825.01,0.277077,53591.51,0.269008,55199.12,92
47,16779345,16779444,100,14417,0.881846,16348.65,0.340897,42291.40,0.278045,51851.37,0.270122,53372.24,93
48,16779445,16779544,100,13748,0.856587,16049.74,0.308883,44508.83,0.255202,53871.10,0.252994,54341.21,92
49,16779545,16779644,100,14524,0.882221,16463.00,0.354725,40944.42,0.282601,51393.96,0.269184,53955.66,85
50,18581726,18581825,100,14635,0.870710,16808.12,0.363026,40313.88,0.357576,40928.32,0.326259,44857.01,83
51,18581826,18581925,100,14705,0.846002,17381.76,0.361583,40668.39,0.353007,41656.45,0.317407,46328.57,78
52,18581926,18582025,100,13744,0.852512,16121.76,0.388738,35355.43,0.354001,38824.75,0.338805,40566.07,88
53,18582026,18582125,100,13339,0.851511,15665.09,0.433940,30739.24,0.381469,34967.47,0.337999,39464.60,71
54,18582126,18582225,100,13302,0.850436,15641.40,0.394702,33701.35,0.361696,36776.77,0.328473,40496.44,77
55,18582226,18582325,100,15419,0.857797,17975.12,0.367640,41940.44,0.381175,40451.23,0.334393,46110.37,70
56,18582326,18582425,100,15541,0.905919,17154.95,0.390507,39797.02,0.345871,44932.94,0.290377,53520.05,65
57,18582426,18582525,100,14202,0.878607,16164.23,0.456068,31140.11,0.421198,33718.09,0.311019,45662.84,39
58,18582526,18582625,100,13584,0.895623,15167.09,0.395184,34373.87,0.347899,39045.77,0.293551,46274.69,61
59,18582626,18582725,100,14206,0.892286,15920.91,0.419282,33881.72,0.359665,39497.82,0.280682,50612.44,44
60,18582726,18582825,100,14594,0.890085,16396.19,0.394150,37026.55,0.338649,43094.75,0.280155,52092.56,54
61,18582826,18582925,100,14306,0.876533,16321.13,0.422909,33827.62,0.378642,37782.35,0.326078,43872.94,71
62,18582926,18583025,100,14637,0.892716,16396.03,0.372988,39242.58,0.348499,42000.18,0.293561,49860.09,61
63,18583026,18583125,100,19445,0.966300,20123.16,0.420234,46271.84,0.559707,34741.39,0.536559,36240.20,82
64,18583126,18583225,100,22352,0.980257,22802.19,0.396162,56421.41,0.686163,32575.36,0.681662,32790.44,95
65,18583226,18583325,100,15072,0.851011,17710.70,0.301197,50040.26,0.319100,47232.77,0.295307,51038.49,82
66,18583326,18583425,100,15082,0.895925,16833.99,0.335269,44984.72,0.353768,42632.48,0.312192,48310.04,75
67,18583426,18583525,100,15003,0.868059,17283.39,0.327745,45776.41,0.338578,44311.77,0.324163,46282.25,89
68,18583526,18583625,100,15544,0.887353,17517.26,0.305091,50948.65,0.344381,45136.04,0.338524,45916.99,93
69,18583626,18583725,100,15573,0.887841,17540.31,0.327538,47545.56,0.338664,45983.67,0.319809,48694.64,86
70,18583726,18583825,100,14916,0.897504,16619.42,0.367108,40631.11,0.336605,44313.07,0.304612,48967.23,73
71,18583826,18583925,100,14683,0.870157,16873.96,0.302255,48578.21,0.325310,45135.39,0.314581,46674.77,91
72,18583926,18584025,100,15413,0.882180,17471.49,0.310264,49677.08,0.306054,50360.33,0.293679,52482.56,92
73,18584026,18584125,100,14890,0.879597,16928.22,0.326787,45564.85,0.332171,44826.33,0.320664,46434.84,88
74,18584126,18584225,100,15759,0.908436,17347.40,0.333251,47288.73,0.336687,46806.12,0.326327,48292.10,92
75,18584226,18584325,100,15407,0.876548,17576.91,0.339005,45447.68,0.338623,45498.92,0.324855,47427.33,86
76,18584326,18584425,100,14274,0.860269,16592.49,0.343385,41568.45,0.334310,42696.91,0.312667,45652.46,87
77,18584426,18584525,100,15126,0.884746,17096.43,0.387275,39057.53,0.338424,44695.37,0.313783,48205.33,83
78,18584526,18584625,100,15285,0.882462,17320.85,0.327363,46691.32,0.331992,46040.26,0.321773,47502.47,91
79,18584626,18584725,100,15843,0.876526,18074.75,0.317576,49887.26,0.356443,44447.47,0.340724,46498.08,91
80,18584726,18584825,100,15299,0.867383,17638.12,0.330480,46293.29,0.342299,44694.88,0.319595,47869.99,89
81,18584826,18584925,100,15405,0.906933,16985.82,0.314389,48999.86,0.323958,47552.53,0.309408,49788.70,89
82,18584926,18585025,100,16427,0.896110,18331.45,0.314015,52312.79,0.319234,51457.62,0.314482,52235.10,90
83,18585026,18585125,100,16389,0.920970,17795.37,0.334628,48976.72,0.342937,47790.16,0.315337,51972.95,84
84,18585126,18585225,100,16604,0.892718,18599.38,0.306964,54091.05,0.317964,52219.83,0.305529,54345.03,92
85,18585226,18585325,100,16370,0.927673,17646.30,0.333778,49044.57,0.318100,51461.84,0.306179,53465.49,93
86,18585326,18585425,100,17024,0.917660,18551.53,0.292342,58233.16,0.314526,54125.94,0.307948,55282.08,98
87,18585426,18585525,100,15987,0.922125,17337.14,0.314644,50809.86,0.329225,48559.48,0.308632,51799.52,87
88,18585526,18585625,100,16127,0.872023,18493.78,0.296933,54311.84,0.326081,49457.06,0.314012,51357.94,92
89,18585626,18585725,100,16163,0.892319,18113.48,0.322916,50053.30,0.335718,48144.52,0.320260,50468.30,87
90,18585726,18585825,100,17010,0.912341,18644.35,0.327828,51887.02,0.351780,48354.11,0.337539,50394.24,82
91,18585826,18585925,100,16515,0.886642,18626.46,0.299599,55123.76,0.315052,52419.94,0.313792,52630.40,96
92,18585926,18586025,100,16042,0.900349,17817.54,0.323040,49659.41,0.331819,48345.71,0.335816,47770.15,94
93,18586026,18586125,100,15510,0.900519,17223.39,0.335920,46171.77,0.332301,46674.62,0.320522,48389.74,90
94,18586126,18586225,100,15436,0.874519,17650.85,0.303914,50790.63,0.318610,48447.99,0.315442,48934.48,96
95,18586226,18586325,100,15203,0.866987,17535.44,0.314266,48376.23,0.309922,49054.33,0.299337,50788.90,93
96,18586326,18586425,100,15333,0.887938,17268.09,0.315202,48644.93,0.328004,46746.32,0.308831,49648.45,93
97,18586426,18586525,100,15430,0.916662,16832.82,0.352793,43736.69,0.346408,44542.80,0.338716,45554.33,86
98,18586526,18586625,100,15149,0.866916,17474.58,0.332055,45622.01,0.334275,45318.91,0.314142,48223.34,84
99,18586626,18586725,100,15848,0.875922,18092.94,0.309320,51234.92,0.302886,52323.35,0.302082,52462.63,96
